symbol,log2FC_mut_vs_ctrl,t,p,fdr_bh
NPIPB8,0.7313857309776869,2.956744898241666,0.01040602223433603,0.019277399908274363
TBC1D3G,0.7987102841191788,2.953425805645032,0.010474620558362912,0.019398617529536148
CCDC150,1.758784671205788,2.9513464664164504,0.010517822631195863,0.01946686374674838
KRT8P46,1.0384485564642674,2.9489519625575067,0.010567790244076553,0.019547542002471115
HOOK3,0.37786077598080325,2.9485124743362543,0.01057698667601672,0.019558651078124434
LOC101928451,0.9004024248669547,2.9464928217489827,0.010619349969481655,0.019619233065980273
PADI2,1.1378946203767246,2.943176232559358,0.010689279891558412,0.01973653184796779
N4BP2L1,0.6292102631480714,2.939283086689227,0.01077194497720206,0.019877189256546846
MALRD1,1.2917534449288002,2.9326563249340314,0.010914103583249242,0.020127393190528836
GPALPP1,0.5102369714308386,2.9299578726905997,0.010972518776652583,0.020216874091037073
ETV5,0.5910805271006127,2.924627330939703,0.011088817890719412,0.02041274884988288
LOC107986799,1.1333327891023188,2.924123413059752,0.011099874643048003,0.02042696834640776
FAM27B,1.4176070397100868,2.9234921650850176,0.011113740517721335,0.02044634735102995
ABCA12,1.6455881472716987,2.9214142797985034,0.011159503386237429,0.020512070691944658
WSB1,0.739899023064623,2.9204219661462916,0.011181423201709461,0.020540043220401257
LRAT,0.8369954141887822,2.9198695973273945,0.011193643146930648,0.020553318816737207
LOC105376825,1.453895930141337,2.919792225460252,0.011195355877501718,0.020553318816737207
BRCA2,0.5078012288626333,2.9179706348514833,0.011235753769208134,0.020621308564444867
